event_id,match_nr,fighter1_url,fighter1_name,fighter2_url,fighter2_name,fighter1_result,fighter2_result,win_method,win_details,referee,round,time
960,1,/fighter/Djatmiko-Waluyo-51126,Djatmiko Waluyo,/fighter/Islam-Sayed-165167,Islam Sayed,win,loss,Submission,Heel Hook,Yuji Shimada,2,02:25
961,11,/fighter/Rui-Chen-232899,Rui Chen,/fighter/Cheng-Zhao-186679,Cheng  Zhao,win,loss, Decision,Split, N/A,2, 5:00
961,10,/fighter/Stefer-Rahardian-137099,Stefer Rahardian,/fighter/Hendrick-Wijaya-232889,Hendrick  Wijaya,win,loss,Submission,Rear-Naked Choke,Joey Lepiten,1,01:36
961,9,/fighter/Adrian-Mattheis-232883,Adrian Mattheis,/fighter/Roso-Nugroho-232903,Roso  Nugroho,win,loss,TKO,Punches,Olivier Coste,1,01:34
961,8,/fighter/Rui-Chen-232899,Rui Chen,/fighter/Zhengzheng-Yue-232907,Zhengzheng Yue,win,loss,TKO,Retirement,,1,05:00
961,7,/fighter/Cheng-Zhao-186679,Cheng  Zhao,/fighter/Jingjia-Wang-232897,Jingjia Wang,win,loss,TKO,Punches,,1,03:19
961,6,/fighter/Eko-Subandono-232893,Eko  Subandono,/fighter/Eliyas-Latupeirissa-232905,Eliyas Latupeirissa,win,loss,Decision,Unanimous,,2,05:00
961,5,/fighter/Hendrick-Wijaya-232889,Hendrick  Wijaya,/fighter/Adi-Nugroho-232891,Adi  Nugroho,win,loss,Decision,Split,,2,05:00
961,4,/fighter/Stefer-Rahardian-137099,Stefer Rahardian,/fighter/Yotha-Hutagalung-232887,Yotha  Hutagalung,win,loss,Submission,Rear-Naked Choke,Olivier Coste,1,00:46
961,3,/fighter/Adrian-Mattheis-232883,Adrian Mattheis,/fighter/Rustam-Hutajulu-232885,Rustam  Hutajulu,win,loss,KO,Punches,Joey Lepiten,1,00:22
961,2,/fighter/Roso-Nugroho-232903,Roso  Nugroho,/fighter/Stelon-Tindage-232881,Stelon Tindage,win,loss,Submission,Rear-Naked Choke,,2,01:17
961,1,/fighter/Qingya-Zhong-232909,Qingya Zhong,/fighter/Jun-Liu-232901,Jun  Liu,win,loss,Submission,Rear-Naked Choke,,1,00:53
962,9,/fighter/Adriano-Moraes-84527,Adriano Moraes,/fighter/Tilek-Batyrov-168797,Tilek Batyrov,win,loss, Submission,Rear-Naked Choke, Yuji Shimada,2, 4:49
962,8,/fighter/Eduard-Folayang-40882,Eduard Folayang,/fighter/Adrian-Pang-8427,Adrian Pang,win,loss,Decision,Unanimous,Olivier Coste,3,05:00
962,7,/fighter/Honorio-Banario-62423,Honorio Banario,/fighter/Eddie-Ng-22810,Eddie Ng,win,loss,Decision,Unanimous,Yuji Shimada,3,05:00
962,6,/fighter/Martin-Nguyen-96155,Martin Nguyen,/fighter/Christian-Lee-212247,Christian Lee,win,loss,Technical Submission,Guillotine Choke,Olivier Coste,1,04:30
962,5,/fighter/Alexandre-Machado-46437,Alexandre Machado,/fighter/Alain-Ngalani-141657,Alain Ngalani,win,loss,TKO,Submission to Punches,Yuji Shimada,2,00:21
962,4,/fighter/Istela-Nunes-83194,Istela Nunes,/fighter/Mei-Yamaguchi-21461,Mei Yamaguchi,win,loss,Decision,Split,Olivier Coste,3,05:00
962,3,/fighter/Jia-Wen-Ma-199403,Jia Wen Ma,/fighter/Jimmy-Yabo-62444,Jimmy Yabo,win,loss,TKO,Elbows,Olivier Coste,3,02:31
962,2,/fighter/Haobin-Ma-214849,Haobin Ma,/fighter/Chan-Rothana-175869,Chan Rothana,win,loss,Decision,Unanimous,Yuji Shimada,3,05:00
962,1,/fighter/Joshua-Pacio-154651,Joshua Pacio,/fighter/Kritsada-Kongsrichai-176461,Kritsada Kongsrichai,win,loss,Submission,Rear-Naked Choke,Yuji Shimada,1,04:37
963,10,/fighter/Narantungalag-Jadambaa-11375,Narantungalag Jadambaa,/fighter/Eric-Kelly-49999,Eric Kelly,win,loss, KO,Punch, Olivier Coste,1, 0:44
