id,match_nr,fighter1_url,fighter2_url,results,win_method,win_details,referee,round,time
/events/UFC-Fight-Night-189-Rozenstruik-vs-Sakai-88821,2,/fighter/Sean-Woodson-235563,/fighter/Youssef-Zalal-229985,win,Decision,Split,Keith Peterson,3,05:00
/events/UFC-Fight-Night-189-Rozenstruik-vs-Sakai-88821,1,/fighter/Claudio-Puelles-105897,/fighter/Jordan-Leavitt-259871,win,Decision,Unanimous,Chris Tognoni,3,05:00
/events/UFC-Fight-Night-188-Font-vs-Garbrandt-88695,12,/fighter/Rob-Font-76100,/fighter/Cody-Garbrandt-50381,win," Decision",Unanimous," Herb Dean",5," 5:00"
/events/UFC-Fight-Night-188-Font-vs-Garbrandt-88695,11,/fighter/Carla-Esparza-63410,/fighter/Xiaonan-Yan-67828,win,TKO,Punches,Keith Peterson,2,02:58
/events/UFC-Fight-Night-188-Font-vs-Garbrandt-88695,10,/fighter/Jared-Vanderaa-152987,/fighter/Justin-Tafa-254717,win,Decision,Unanimous,Mark Smith,3,05:00
/events/UFC-Fight-Night-188-Font-vs-Garbrandt-88695,9,/fighter/Norma-Dumont-233587,/fighter/Felicia-Spencer-203909,win,Decision,Split,Chris Tognoni,3,05:00
/events/UFC-Fight-Night-188-Font-vs-Garbrandt-88695,8,/fighter/Ricardo-Ramos-121143,/fighter/Bill-Algeo-77441,win,Decision,Unanimous,Mark Smith,3,05:00
/events/UFC-Fight-Night-188-Font-vs-Garbrandt-88695,7,/fighter/Jack-Hermansson-61146,/fighter/Edmen-Shahbazyan-247691,win,Decision,Unanimous,Herb Dean,3,05:00
/events/UFC-Fight-Night-188-Font-vs-Garbrandt-88695,6,/fighter/Ben-Rothwell-2262,/fighter/Chris-Barnett-45664,win,Submission,Guillotine Choke,Mark Smith,2,02:07
/events/UFC-Fight-Night-188-Font-vs-Garbrandt-88695,5,/fighter/Court-McGee-34124,/fighter/Claudio-Silva-25830,win,Decision,Unanimous,Keith Peterson,3,05:00
/events/UFC-Fight-Night-188-Font-vs-Garbrandt-88695,4,/fighter/Bruno-Silva-118601,/fighter/Victor-Rodriguez-177975,win,KO,Punches,Chris Tognoni,1,01:00
/events/UFC-Fight-Night-188-Font-vs-Garbrandt-88695,3,/fighter/Joshua-Culibao-222801,/fighter/Nuerdanbieke-Shayilan-245853,win,Decision,Unanimous,Herb Dean,3,05:00
/events/UFC-Fight-Night-188-Font-vs-Garbrandt-88695,2,/fighter/David-Dvorak-67185,/fighter/Juancamilo-Ronderos-227427,win,Submission,Rear-Naked Choke,Keith Peterson,1,02:18
/events/UFC-Fight-Night-188-Font-vs-Garbrandt-88695,1,/fighter/Damir-Ismagulov-181183,/fighter/Rafael-Alves-96651,win,Decision,Unanimous,Chris Tognoni,3,05:00
/events/UFC-262-Oliveira-vs-Chandler-88694,12,/fighter/Charles-Oliveira-30300,/fighter/Michael-Chandler-50829,win," TKO",Punches," Dan Miragliotta",2," 0:19"
/events/UFC-262-Oliveira-vs-Chandler-88694,11,/fighter/Beneil-Dariush-56583,/fighter/Tony-Ferguson-31239,win,Decision,Unanimous,Mike Beltran,3,05:00
/events/UFC-262-Oliveira-vs-Chandler-88694,10,/fighter/Rogerio-Bontorin-132211,/fighter/Matt-Schnell-47006,win,Decision,Unanimous,Kerry Hatley,3,05:00
/events/UFC-262-Oliveira-vs-Chandler-88694,9,/fighter/Katlyn-Chookagian-119071,/fighter/Viviane-Araujo-200603,win,Decision,Unanimous,Kerry Hatley,3,05:00
/events/UFC-262-Oliveira-vs-Chandler-88694,8,/fighter/Edson-Barboza-46259,/fighter/Shane-Burgos-76052,win,KO,Punches,Mike Beltran,3,01:16
/events/UFC-262-Oliveira-vs-Chandler-88694,7,/fighter/Andre-Muniz-81800,/fighter/Ronaldo-Souza-8394,win,Technical Submission,Armbar,Jacob Montalvo,1,03:59
/events/UFC-262-Oliveira-vs-Chandler-88694,6,/fighter/Lando-Vannata-82446,/fighter/Mike-Grundy-84263,win,Decision,Split,Dan Miragliotta,3,05:00
/events/UFC-262-Oliveira-vs-Chandler-88694,5,/fighter/Jordan-Wright-79138,/fighter/Jamie-Pickett-72595,win,TKO,Elbows and Punches,Kerry Hatley,1,01:04
/events/UFC-262-Oliveira-vs-Chandler-88694,4,/fighter/Andrea-Lee-149037,/fighter/Antonina-Shevchenko-45389,win,Submission,Triangle Armbar,Jeff Rexroad,2,04:52
/events/UFC-262-Oliveira-vs-Chandler-88694,3,/fighter/Priscila-Cachoeira-227399,/fighter/Gina-Mazany-36287,win,TKO,Punches,Mike Beltran,2,04:51
/events/UFC-262-Oliveira-vs-Chandler-88694,2,/fighter/Tucker-Lutz-122559,/fighter/Kevin-Aguilar-57838,win,Decision,Unanimous,Jacob Montalvo,3,05:00
/events/UFC-262-Oliveira-vs-Chandler-88694,1,/fighter/Christos-Giagos-68130,/fighter/Sean-Soriano-61682,win,Technical Submission,Brabo Choke,Jeff Rexroad,2,00:59
/events/UFC-on-ESPN-24-Rodriguez-vs-Waterson-88639,9,/fighter/Marina-Rodriguez-193977,/fighter/Michelle-Waterson-23091,win," Decision",Unanimous," Herb Dean",5," 5:00"
/events/UFC-on-ESPN-24-Rodriguez-vs-Waterson-88639,8,/fighter/Alex-Morono-64894,/fighter/Donald-Cerrone-15105,win,TKO,Punches,Marc Goddard,1,04:40
/events/UFC-on-ESPN-24-Rodriguez-vs-Waterson-88639,7,/fighter/Neil-Magny-69166,/fighter/Geoff-Neal-72107,win,Decision,Unanimous,Mark Smith,3,05:00
/events/UFC-on-ESPN-24-Rodriguez-vs-Waterson-88639,6,/fighter/Marcos-Rogerio-de-Lima-51955,/fighter/Maurice-Greene-85198,win,Decision,Unanimous,Herb Dean,3,05:00
/events/UFC-on-ESPN-24-Rodriguez-vs-Waterson-88639,5,/fighter/Gregor-Gillespie-111701,/fighter/Diego-Ferreira-26358,win,TKO,Elbows and Punches,Chris Tognoni,2,04:51
/events/UFC-on-ESPN-24-Rodriguez-vs-Waterson-88639,4,/fighter/Phil-Hawes-130935,/fighter/Kyle-Daukaus-83350,win,Decision,Unanimous,Mark Smith,3,05:00
/events/UFC-on-ESPN-24-Rodriguez-vs-Waterson-88639,3,/fighter/Michael-Trizano-163551,/fighter/Ludovit-Klein-183159,win,Decision,Unanimous,Herb Dean,3,05:00
/events/UFC-on-ESPN-24-Rodriguez-vs-Waterson-88639,2,/fighter/Jun-Yong-Park-159071,/fighter/Tafon-Nchukwi-282049,win,Decision,Majority,Chris Tognoni,3,05:00
/events/UFC-on-ESPN-24-Rodriguez-vs-Waterson-88639,1,/fighter/Carlston-Lindsay-Harris-85711,/fighter/Christian-Aguilera-90555,win,Technical Submission,Anaconda Choke,Marc Goddard,1,02:52
/events/UFC-on-ESPN-23-Reyes-vs-Prochazka-88625,11,/fighter/Jiri-Prochazka-97529,/fighter/Dominick-Reyes-145941,win," KO",Spinning Back Elbow," Herb Dean",2," 4:29"
/events/UFC-on-ESPN-23-Reyes-vs-Prochazka-88625,10,/fighter/Giga-Chikadze-213745,/fighter/Cub-Swanson-11002,win,TKO,Body Kick and Punches,Jason Herzog,1,01:03
/events/UFC-on-ESPN-23-Reyes-vs-Prochazka-88625,9,/fighter/Ion-Cutelaba-101427,/fighter/Dustin-Jacoby-73825,draw,Draw,Split,Mark Smith,3,05:00
